Job,Action,Dataset,StartTime,EndTime
678ba04f-45d6-4bcc-85bc-d806c7ed833d,write,03dada48-b846-4f2a-9aaf-ec6fb9f33e92,1459767350000,145976735500
fb60d526-b681-41a8-8353-502cdfb74c6c,read,0d2c7860-7351-4a05-ad6d-bc5c65fc77bf,1459783633000,145978363400
c06cb8b4-0c2d-44d0-8fdd-92369e913aa1,read,16f02435-f996-4a65-889d-d05ddb33d3e6,1459740878000,145974152000
43950677-3653-4cee-aaac-e6b8a723c0ff,read,3732e7d9-8d8e-4976-9d09-5542b862578e,1459730380000,145973057800
2f17b6bc-6a2a-4ba9-b696-558851bb0e9b,read,d5dbf8a8-2c84-44e0-b4ef-7166da3b93f4,1459747892000,145974789200
3996fac3-d34d-4051-af31-4e41f5ffaba5,write,030641f3-296a-4b13-a1f1-40736e3b185d,1459804913000,145980491300
85a17ff4-04ab-4d03-8209-8f1c189c628f,read,00d28325-9007-4077-a15b-0668c9eb0f2b,1459768393000,145976874500
573df712-61fa-4410-b237-caa3b53273f9,read,618cb6cd-8611-40fe-9390-b356c874d5cc,1459757825000,145975782900
7b4e0c77-45b7-42d5-b5d1-28dc7de44f5f,read,076d6831-d3eb-4ce3-a8eb-56a6bd4ff1db,1459779813000,145977982000
f66868d3-ea40-4583-ac3d-64bad8de0bd4,read,08482ed1-f453-4eaf-8bf1-347bfc1a17e3,1459730060000,145973126800
4d04c051-f568-476c-8fc8-7c224f3edaca,read,45e2cb89-936a-4cc7-8818-59cce8e15aa5,1459762629000,145976312000
1cb24ba1-ceff-4e8f-a6dd-eacdd0f7fb25,write,3b2249f2-0d92-4a24-98b5-7158d68c631c,1459785687000,145978568800
08aa2800-3cbc-44b0-af14-1c17c6d29cd2,read,20d8c78c-b0a6-44b6-aa27-7381ff235285,1459814363000,145981436700
71c3f3fe-8706-4086-b095-0493d957a6ea,read,0d2c7860-7351-4a05-ad6d-bc5c65fc77bf,1459802840000,145980284100
b6243c61-afc2-486a-8eca-b753758152b4,write,269d210e-d16f-4af2-a1da-f5e6680ae627,1459757781000,145975781200
ec60ad9d-b180-4a40-aec6-a38515d4b950,read,07dff754-318d-4315-bdaa-30ffb527bf31,1459757508000,145975771700
0005dca9-6179-4a3f-8496-b8cd10ba7895,read,09b10f2e-adfa-440d-8b67-c2aa3f3a24d5,1459790952000,145979138700
